ComCode,Description,ShortDesc,CatGroupID,CatGroup,CatGroupOrder
18718,USDA Imported Meat - Fresh Beef - Cheek Meat - Nicaragua,USDA Imported Meat - Fresh Beef - Cheek Meat - NI,640,USDA Imported Meat - Fresh Beef,415
18719,USDA Imported Meat - Fresh Beef - Cuts - Nicaragua,USDA Imported Meat - Fresh Beef - Cuts - NI,640,USDA Imported Meat - Fresh Beef,420
18720,USDA Imported Meat - Fresh Beef - Edible Offal - Nicaragua,USDA Imported Meat - Fresh Beef - Edible Offal - NI,640,USDA Imported Meat - Fresh Beef,425
18721,USDA Imported Meat - Fresh Beef - Head Meat - Nicaragua,USDA Imported Meat - Fresh Beef - Head Meat - NI,640,USDA Imported Meat - Fresh Beef,430
18722,USDA Imported Meat - Fresh Beef - Other Intact - Nicaragua,USDA Imported Meat - Fresh Beef - Other Intact - NI,640,USDA Imported Meat - Fresh Beef,435
18723,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Nicaragua,USDA Imported Meat - Fresh Beef - Primals & Subprimals - NI,640,USDA Imported Meat - Fresh Beef,440
18724,USDA Imported Meat - Fresh Beef - AMR - Uruguay,USDA Imported Meat - Fresh Beef - AMR - UY,640,USDA Imported Meat - Fresh Beef,445
18725,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Uruguay,USDA Imported Meat - Fresh Beef - Boneless Trimmings - UY,640,USDA Imported Meat - Fresh Beef,450
18726,USDA Imported Meat - Fresh Beef - Cheek Meat - Uruguay,USDA Imported Meat - Fresh Beef - Cheek Meat - UY,640,USDA Imported Meat - Fresh Beef,455
18727,USDA Imported Meat - Fresh Beef - Cuts - Uruguay,USDA Imported Meat - Fresh Beef - Cuts - UY,640,USDA Imported Meat - Fresh Beef,460
18728,USDA Imported Meat - Fresh Beef - Edible Offal - Uruguay,USDA Imported Meat - Fresh Beef - Edible Offal - UY,640,USDA Imported Meat - Fresh Beef,465
18729,USDA Imported Meat - Fresh Beef - Head Meat - Uruguay,USDA Imported Meat - Fresh Beef - Head Meat - UY,640,USDA Imported Meat - Fresh Beef,470
